,source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
1,Macro,CAF,TGFB1,TGFbR1_R2,0.000210484302017347,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
2,Macro,Macro,TGFB1,TGFbR1_R2,0.000694483425578304,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
3,Macro,malignant_cell,TGFB1,TGFbR1_R2,0.000513576422052534,0,TGFB1_TGFBR1_TGFBR2,TGFB1 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
4,CAF,CAF,TGFB3,TGFbR1_R2,0.000934753392229636,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
5,CAF,Macro,TGFB3,TGFbR1_R2,0.00309358117763937,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
6,CAF,malignant_cell,TGFB3,TGFbR1_R2,0.00229048669636729,0,TGFB3_TGFBR1_TGFBR2,TGFB3 - (TGFBR1+TGFBR2),TGFb,Secreted Signaling,KEGG: hsa04350
7,Macro,CAF,TGFB1,ACVR1B_TGFbR2,9.47975447350657e-05,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
8,CAF,CAF,TGFB3,ACVR1B_TGFbR2,0.000423858293962313,0,TGFB3_ACVR1B_TGFBR2,TGFB3 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815
9,Macro,CAF,TGFB1,ACVR1_TGFbR,0.000613985828438876,0,TGFB1_ACVR1_TGFBR1,TGFB1 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
10,CAF,CAF,TGFB3,ACVR1_TGFbR,0.0119612420054164,0,TGFB3_ACVR1_TGFBR1,TGFB3 - (ACVR1+TGFBR1),TGFb,Secreted Signaling,PMID: 29376829
11,Endo,CAF,BMP2,BMPR1A_ACVR2A,0.00255341263735997,0,BMP2_BMPR1A_ACVR2A,BMP2 - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
12,Endo,CAF,BMP2,BMPR1A_BMPR2,0.00452409956674351,0,BMP2_BMPR1A_BMPR2,BMP2 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
13,Endo,malignant_cell,BMP2,BMPR1B_ACVR2A,0.00121013459499604,0,BMP2_BMPR1B_ACVR2A,BMP2 - (BMPR1B+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
14,Endo,malignant_cell,BMP2,BMPR1B_ACVR2B,0.00176010238842853,0,BMP2_BMPR1B_ACVR2B,BMP2 - (BMPR1B+ACVR2B),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
15,Endo,malignant_cell,BMP2,BMPR1B_BMPR2,0.00493753016237256,0,BMP2_BMPR1B_BMPR2,BMP2 - (BMPR1B+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
16,B_cell,CAF,BMP7,ACVR1_ACVR2A,0.0102559593525758,0,BMP7_ACVR1_ACVR2A,BMP7 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
17,CAF,CAF,BMP7,ACVR1_ACVR2A,0.00172911360760935,0,BMP7_ACVR1_ACVR2A,BMP7 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
18,Endo,CAF,BMP7,ACVR1_ACVR2A,0.00539132001450501,0,BMP7_ACVR1_ACVR2A,BMP7 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
19,Macro,CAF,BMP7,ACVR1_ACVR2A,0.0048398164287479,0,BMP7_ACVR1_ACVR2A,BMP7 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
20,malignant_cell,CAF,BMP7,ACVR1_ACVR2A,0.00176810357510114,0,BMP7_ACVR1_ACVR2A,BMP7 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
21,NK,CAF,BMP7,ACVR1_ACVR2A,0.00931956344991982,0,BMP7_ACVR1_ACVR2A,BMP7 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
22,T_cell,CAF,BMP7,ACVR1_ACVR2A,0.0106851681438974,0,BMP7_ACVR1_ACVR2A,BMP7 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
23,B_cell,CAF,BMP7,ACVR1_BMPR2,0.01803362121418,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
24,CAF,CAF,BMP7,ACVR1_BMPR2,0.00306477723297538,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
25,Endo,CAF,BMP7,ACVR1_BMPR2,0.00952532555165243,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
26,Macro,CAF,BMP7,ACVR1_BMPR2,0.00855596184065395,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
27,malignant_cell,CAF,BMP7,ACVR1_BMPR2,0.00313518030466274,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
28,NK,CAF,BMP7,ACVR1_BMPR2,0.0164034322186992,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
29,T_cell,CAF,BMP7,ACVR1_BMPR2,0.0187796084589938,0,BMP7_ACVR1_BMPR2,BMP7 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
30,B_cell,CAF,BMP7,BMPR1A_ACVR2A,0.00903950010055921,0,BMP7_BMPR1A_ACVR2A,BMP7 - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
31,CAF,CAF,BMP7,BMPR1A_ACVR2A,0.0015221295734268,0,BMP7_BMPR1A_ACVR2A,BMP7 - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
32,Endo,CAF,BMP7,BMPR1A_ACVR2A,0.0047483105328031,0,BMP7_BMPR1A_ACVR2A,BMP7 - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
33,Macro,CAF,BMP7,BMPR1A_ACVR2A,0.00426219392637294,0,BMP7_BMPR1A_ACVR2A,BMP7 - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
34,malignant_cell,CAF,BMP7,BMPR1A_ACVR2A,0.00155635260753804,0,BMP7_BMPR1A_ACVR2A,BMP7 - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
35,NK,CAF,BMP7,BMPR1A_ACVR2A,0.00821289150202887,0,BMP7_BMPR1A_ACVR2A,BMP7 - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
36,T_cell,CAF,BMP7,BMPR1A_ACVR2A,0.00941848400199685,0,BMP7_BMPR1A_ACVR2A,BMP7 - (BMPR1A+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
37,B_cell,CAF,BMP7,BMPR1A_BMPR2,0.0159137273753967,0,BMP7_BMPR1A_BMPR2,BMP7 - (BMPR1A+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264
