id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B cell|B cell	B cell|Basal	B cell|CTL	B cell|Ciliated	B cell|Ciliated-diff	B cell|FOXN4	B cell|IRC	B cell|Ionocyte	B cell|MC	B cell|MoMa	B cell|NK	B cell|NKT	B cell|NKT-p	B cell|Neu	B cell|Secretory	B cell|Secretory-diff	B cell|Squamous	B cell|Treg	B cell|moDC	B cell|nrMa	B cell|pDC	B cell|rMa	Basal|B cell	Basal|Basal	Basal|CTL	Basal|Ciliated	Basal|Ciliated-diff	Basal|FOXN4	Basal|IRC	Basal|Ionocyte	Basal|MC	Basal|MoMa	Basal|NK	Basal|NKT	Basal|NKT-p	Basal|Neu	Basal|Secretory	Basal|Secretory-diff	Basal|Squamous	Basal|Treg	Basal|moDC	Basal|nrMa	Basal|pDC	Basal|rMa	CTL|B cell	CTL|Basal	CTL|CTL	CTL|Ciliated	CTL|Ciliated-diff	CTL|FOXN4	CTL|IRC	CTL|Ionocyte	CTL|MC	CTL|MoMa	CTL|NK	CTL|NKT	CTL|NKT-p	CTL|Neu	CTL|Secretory	CTL|Secretory-diff	CTL|Squamous	CTL|Treg	CTL|moDC	CTL|nrMa	CTL|pDC	CTL|rMa	Ciliated|B cell	Ciliated|Basal	Ciliated|CTL	Ciliated|Ciliated	Ciliated|Ciliated-diff	Ciliated|FOXN4	Ciliated|IRC	Ciliated|Ionocyte	Ciliated|MC	Ciliated|MoMa	Ciliated|NK	Ciliated|NKT	Ciliated|NKT-p	Ciliated|Neu	Ciliated|Secretory	Ciliated|Secretory-diff	Ciliated|Squamous	Ciliated|Treg	Ciliated|moDC	Ciliated|nrMa	Ciliated|pDC	Ciliated|rMa	Ciliated-diff|B cell	Ciliated-diff|Basal	Ciliated-diff|CTL	Ciliated-diff|Ciliated	Ciliated-diff|Ciliated-diff	Ciliated-diff|FOXN4	Ciliated-diff|IRC	Ciliated-diff|Ionocyte	Ciliated-diff|MC	Ciliated-diff|MoMa	Ciliated-diff|NK	Ciliated-diff|NKT	Ciliated-diff|NKT-p	Ciliated-diff|Neu	Ciliated-diff|Secretory	Ciliated-diff|Secretory-diff	Ciliated-diff|Squamous	Ciliated-diff|Treg	Ciliated-diff|moDC	Ciliated-diff|nrMa	Ciliated-diff|pDC	Ciliated-diff|rMa	FOXN4|B cell	FOXN4|Basal	FOXN4|CTL	FOXN4|Ciliated	FOXN4|Ciliated-diff	FOXN4|FOXN4	FOXN4|IRC	FOXN4|Ionocyte	FOXN4|MC	FOXN4|MoMa	FOXN4|NK	FOXN4|NKT	FOXN4|NKT-p	FOXN4|Neu	FOXN4|Secretory	FOXN4|Secretory-diff	FOXN4|Squamous	FOXN4|Treg	FOXN4|moDC	FOXN4|nrMa	FOXN4|pDC	FOXN4|rMa	IRC|B cell	IRC|Basal	IRC|CTL	IRC|Ciliated	IRC|Ciliated-diff	IRC|FOXN4	IRC|IRC	IRC|Ionocyte	IRC|MC	IRC|MoMa	IRC|NK	IRC|NKT	IRC|NKT-p	IRC|Neu	IRC|Secretory	IRC|Secretory-diff	IRC|Squamous	IRC|Treg	IRC|moDC	IRC|nrMa	IRC|pDC	IRC|rMa	Ionocyte|B cell	Ionocyte|Basal	Ionocyte|CTL	Ionocyte|Ciliated	Ionocyte|Ciliated-diff	Ionocyte|FOXN4	Ionocyte|IRC	Ionocyte|Ionocyte	Ionocyte|MC	Ionocyte|MoMa	Ionocyte|NK	Ionocyte|NKT	Ionocyte|NKT-p	Ionocyte|Neu	Ionocyte|Secretory	Ionocyte|Secretory-diff	Ionocyte|Squamous	Ionocyte|Treg	Ionocyte|moDC	Ionocyte|nrMa	Ionocyte|pDC	Ionocyte|rMa	MC|B cell	MC|Basal	MC|CTL	MC|Ciliated	MC|Ciliated-diff	MC|FOXN4	MC|IRC	MC|Ionocyte	MC|MC	MC|MoMa	MC|NK	MC|NKT	MC|NKT-p	MC|Neu	MC|Secretory	MC|Secretory-diff	MC|Squamous	MC|Treg	MC|moDC	MC|nrMa	MC|pDC	MC|rMa	MoMa|B cell	MoMa|Basal	MoMa|CTL	MoMa|Ciliated	MoMa|Ciliated-diff	MoMa|FOXN4	MoMa|IRC	MoMa|Ionocyte	MoMa|MC	MoMa|MoMa	MoMa|NK	MoMa|NKT	MoMa|NKT-p	MoMa|Neu	MoMa|Secretory	MoMa|Secretory-diff	MoMa|Squamous	MoMa|Treg	MoMa|moDC	MoMa|nrMa	MoMa|pDC	MoMa|rMa	NK|B cell	NK|Basal	NK|CTL	NK|Ciliated	NK|Ciliated-diff	NK|FOXN4	NK|IRC	NK|Ionocyte	NK|MC	NK|MoMa	NK|NK	NK|NKT	NK|NKT-p	NK|Neu	NK|Secretory	NK|Secretory-diff	NK|Squamous	NK|Treg	NK|moDC	NK|nrMa	NK|pDC	NK|rMa	NKT|B cell	NKT|Basal	NKT|CTL	NKT|Ciliated	NKT|Ciliated-diff	NKT|FOXN4	NKT|IRC	NKT|Ionocyte	NKT|MC	NKT|MoMa	NKT|NK	NKT|NKT	NKT|NKT-p	NKT|Neu	NKT|Secretory	NKT|Secretory-diff	NKT|Squamous	NKT|Treg	NKT|moDC	NKT|nrMa	NKT|pDC	NKT|rMa	NKT-p|B cell	NKT-p|Basal	NKT-p|CTL	NKT-p|Ciliated	NKT-p|Ciliated-diff	NKT-p|FOXN4	NKT-p|IRC	NKT-p|Ionocyte	NKT-p|MC	NKT-p|MoMa	NKT-p|NK	NKT-p|NKT	NKT-p|NKT-p	NKT-p|Neu	NKT-p|Secretory	NKT-p|Secretory-diff	NKT-p|Squamous	NKT-p|Treg	NKT-p|moDC	NKT-p|nrMa	NKT-p|pDC	NKT-p|rMa	Neu|B cell	Neu|Basal	Neu|CTL	Neu|Ciliated	Neu|Ciliated-diff	Neu|FOXN4	Neu|IRC	Neu|Ionocyte	Neu|MC	Neu|MoMa	Neu|NK	Neu|NKT	Neu|NKT-p	Neu|Neu	Neu|Secretory	Neu|Secretory-diff	Neu|Squamous	Neu|Treg	Neu|moDC	Neu|nrMa	Neu|pDC	Neu|rMa	Secretory|B cell	Secretory|Basal	Secretory|CTL	Secretory|Ciliated	Secretory|Ciliated-diff	Secretory|FOXN4	Secretory|IRC	Secretory|Ionocyte	Secretory|MC	Secretory|MoMa	Secretory|NK	Secretory|NKT	Secretory|NKT-p	Secretory|Neu	Secretory|Secretory	Secretory|Secretory-diff	Secretory|Squamous	Secretory|Treg	Secretory|moDC	Secretory|nrMa	Secretory|pDC	Secretory|rMa	Secretory-diff|B cell	Secretory-diff|Basal	Secretory-diff|CTL	Secretory-diff|Ciliated	Secretory-diff|Ciliated-diff	Secretory-diff|FOXN4	Secretory-diff|IRC	Secretory-diff|Ionocyte	Secretory-diff|MC	Secretory-diff|MoMa	Secretory-diff|NK	Secretory-diff|NKT	Secretory-diff|NKT-p	Secretory-diff|Neu	Secretory-diff|Secretory	Secretory-diff|Secretory-diff	Secretory-diff|Squamous	Secretory-diff|Treg	Secretory-diff|moDC	Secretory-diff|nrMa	Secretory-diff|pDC	Secretory-diff|rMa	Squamous|B cell	Squamous|Basal	Squamous|CTL	Squamous|Ciliated	Squamous|Ciliated-diff	Squamous|FOXN4	Squamous|IRC	Squamous|Ionocyte	Squamous|MC	Squamous|MoMa	Squamous|NK	Squamous|NKT	Squamous|NKT-p	Squamous|Neu	Squamous|Secretory	Squamous|Secretory-diff	Squamous|Squamous	Squamous|Treg	Squamous|moDC	Squamous|nrMa	Squamous|pDC	Squamous|rMa	Treg|B cell	Treg|Basal	Treg|CTL	Treg|Ciliated	Treg|Ciliated-diff	Treg|FOXN4	Treg|IRC	Treg|Ionocyte	Treg|MC	Treg|MoMa	Treg|NK	Treg|NKT	Treg|NKT-p	Treg|Neu	Treg|Secretory	Treg|Secretory-diff	Treg|Squamous	Treg|Treg	Treg|moDC	Treg|nrMa	Treg|pDC	Treg|rMa	moDC|B cell	moDC|Basal	moDC|CTL	moDC|Ciliated	moDC|Ciliated-diff	moDC|FOXN4	moDC|IRC	moDC|Ionocyte	moDC|MC	moDC|MoMa	moDC|NK	moDC|NKT	moDC|NKT-p	moDC|Neu	moDC|Secretory	moDC|Secretory-diff	moDC|Squamous	moDC|Treg	moDC|moDC	moDC|nrMa	moDC|pDC	moDC|rMa	nrMa|B cell	nrMa|Basal	nrMa|CTL	nrMa|Ciliated	nrMa|Ciliated-diff	nrMa|FOXN4	nrMa|IRC	nrMa|Ionocyte	nrMa|MC	nrMa|MoMa	nrMa|NK	nrMa|NKT	nrMa|NKT-p	nrMa|Neu	nrMa|Secretory	nrMa|Secretory-diff	nrMa|Squamous	nrMa|Treg	nrMa|moDC	nrMa|nrMa	nrMa|pDC	nrMa|rMa	pDC|B cell	pDC|Basal	pDC|CTL	pDC|Ciliated	pDC|Ciliated-diff	pDC|FOXN4	pDC|IRC	pDC|Ionocyte	pDC|MC	pDC|MoMa	pDC|NK	pDC|NKT	pDC|NKT-p	pDC|Neu	pDC|Secretory	pDC|Secretory-diff	pDC|Squamous	pDC|Treg	pDC|moDC	pDC|nrMa	pDC|pDC	pDC|rMa	rMa|B cell	rMa|Basal	rMa|CTL	rMa|Ciliated	rMa|Ciliated-diff	rMa|FOXN4	rMa|IRC	rMa|Ionocyte	rMa|MC	rMa|MoMa	rMa|NK	rMa|NKT	rMa|NKT-p	rMa|Neu	rMa|Secretory	rMa|Secretory-diff	rMa|Squamous	rMa|Treg	rMa|moDC	rMa|nrMa	rMa|pDC	rMa|rMa
CPI-SS043E0F61D	PTGER3_GHRL	simple:P43115	simple:Q9UBU3	PTGER3	GHRL	True	True	False	InnateDB-All	False	0.002																																																																																																																																																																															0.346																																																																																																																																																																																																																																																																																																																					
CPI-SS038E93B77	FGFR1_FGF9	simple:P11362	simple:P31371	FGFR1	FGF9	True	True	False	I2D,InnateDB-All	False	0.002																																																																																																																						0.082																																																																																																																																																																																																																																																																																																																																																																														
CPI-SS0320FFAFC	CTLA4_CD80	simple:P16410	simple:P33681	CTLA4	CD80	False	False	True	curated	False	0.002																																																																																																																																																																																																																																																																																																																																																																																							0.179																																																																																																													
CPI-SS07327E587	CD28_CD80	simple:P10747	simple:P33681	CD28	CD80	False	False	True	curated	False	0.002																																																																																																																																																																																																																																																																																																																																																																																							0.209																																																																																																													
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	CRTAM	CADM1	False	False	False	curated	False	0.002																																																		0.339																																																																																																																																																																																																																																																																																																																																																																																																																																																		
CPI-SS0AA47D179	TNFRSF13B_CD70	simple:O14836	simple:P32970	TNFRSF13B	CD70	True	True	False	InnateDB-All	False	0.002	0.678																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
CPI-CS08F4E5D70	NKG2D II receptor_RAET1L	complex:NKG2D II receptor	simple:Q5VY80		RAET1L	False	True	False	curated	False	0.002																																																													0.109																																																																																																																																																																																																																																																																																																																																																																																																																																							
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	0.002																																																																																																																				0.247																																																																																																																																																																																																																																																																																																																																																																																
CPI-SS0D41C7AF5	EPHB1_EFNB3	simple:P54762	simple:Q15768	EPHB1	EFNB3	False	True	True	curated	False	0.002																																																																																																																																																																																																																																																																																																																																																																																																																																																												0.209																																								
CPI-SS0ACD487F0	L1CAM_L1CAM	simple:P32004	simple:P32004	L1CAM	L1CAM	False	False	False	curated	False	0.002																																																																																																																																																																																																																																							0.139																																																																																																																																																																																																																																																													
CPI-SS000568A0E	FCER2_CR2	simple:P06734	simple:P20023	FCER2	CR2	True	True	True	curated	False	0.002	0.277																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
CPI-SS073811AB3	TNFRSF11B_TNFSF11	simple:O00300	simple:O14788	TNFRSF11B	TNFSF11	True	False	True	curated	False	0.002																																																																																																																																																											0.097																																																																																																																																																																																																																																																																																																																																									
CPI-SC07312BD5C	FCER2_aMb2 complex	simple:P06734	complex:aMb2 complex	FCER2		True	True	False	curated	True	0.002																				0.258																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
CPI-SS0D4BF6CA3	CD27_CD70	simple:P26842	simple:P32970	CD27	CD70	True	True	False	curated	False	0.004	0.403																																																																																																																																																																																																																																																																																																																																																																																						0.31																																																																																																													
CPI-CS09F211C3E	NKG2D II receptor_RAET1E	complex:NKG2D II receptor	simple:Q8TD07		RAET1E	True	True	False	curated	False	0.004																																																0.199		0.091																																																																																																																																																																																																																																																																																																																																																																																																																																																		
CPI-CS0A9D23000	NKG2D II receptor_MICB	complex:NKG2D II receptor	simple:Q29980		MICB	False	True	False	curated	False	0.004																																													0.11																	0.12																																																																																																																																																																																																																																																																																																																																																																																																																																						
CPI-SS0F52745F3	DPP4_CXCL9	simple:P27487	simple:Q07325	DPP4	CXCL9	True	True	False	curated	False	0.004																																																																																																																																																																																																																																																																																																																																																																																																0.554																																																																		0.532																																		
CPI-SS07155793F	ACKR3_CXCL12	simple:P25106	simple:P48061	ACKR3	CXCL12	True	True	False	guidetopharmacology.org	False	0.004																																																																																																																																																																					0.289																																																																																																																																																										0.231																																																																																																																																																																					
CPI-SS0C412B7DE	CD70_TNFRSF17	simple:P32970	simple:Q02223	CD70	TNFRSF17	True	False	True	InnateDB-All	False	0.004	0.189																				0.257																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
CPI-SS07A9A501C	FGFR3_FGF9	simple:P22607	simple:P31371	FGFR3	FGF9	True	True	False	I2D,InnateDB-All	False	0.004																																																																																																																						0.105																																																																																																																																																																																																						0.164																																																																																																																																																																								
CPI-SS0DBA4D668	DPP4_CXCL12	simple:P27487	simple:P48061	DPP4	CXCL12	True	True	False	curated	False	0.004																																																																																																																																																																																																																																																																																																																																																																																																	0.304																																																																		0.282																																	
CPI-SS09AFCF898	CCR2_CCL8	simple:P41597	simple:P80075	CCR2	CCL8	True	True	False	curated	False	0.004																																																																																																																																																																																																																2.216																																																																																																																																																																																																																																																		2.119																																		
CPI-SC0FF018913	COL28A1_a1b1 complex	simple:Q2UY09	complex:a1b1 complex	COL28A1		True	False	False	curated	True	0.004																																																																					0.885															0.305																																																																																																																																																																																																																																																																																																																																																																																																																
CPI-SC090DB3159	COL24A1_a1b1 complex	simple:Q17RW2	complex:a1b1 complex	COL24A1		True	False	False	curated	True	0.004																																																																																																																																																																																																																																																																																																																																																																																																																																																											0.809															0.229																										
CPI-SC0DA5EFA18	COL4A6_a1b1 complex	simple:Q14031	complex:a1b1 complex	COL4A6		True	False	False	curated	True	0.004																																																																					0.764															0.184																																																																																																																																																																																																																																																																																																																																																																																																																
CPI-SS085C150CE	ACE2_GHRL	simple:Q9BYF1	simple:Q9UBU3	ACE2	GHRL	True	True	False	I2D	False	0.004																																																																																							0.049																																																																																																																																																																																																																																																		0.056																																																																																																																																																											
CPI-SC053BBE2B1	COL16A1_a1b1 complex	simple:Q07092	complex:a1b1 complex	COL16A1		True	False	False	curated	True	0.004																																																																					0.774															0.193																																																																																																																																																																																																																																																																																																																																																																																																																
CPI-SS07CA5A6F1	EPHA4_EFNB3	simple:P54764	simple:Q15768	EPHA4	EFNB3	False	True	True	curated	False	0.004																																																																																																																		0.073																																																																																																																																																																																																						0.105																																																																																																																																																																												
CPI-SS0D377BBBF	ADCYAP1_DPP4	simple:P18509	simple:P27487	ADCYAP1	DPP4	True	False	True	InnateDB-All,MINT	False	0.004																																																																																																																																																																																																		0.724			0.702																																																																																																																																																																																																																																																																																															
CPI-SC0592EC3D0	L1CAM_a5b1 complex	simple:P32004	complex:a5b1 complex	L1CAM		False	False	False	curated	True	0.004																																																																																																																																																																																																																																							0.328									0.209																																																																																																																																																																																																																																																				
CPI-SC0C8B4C056	CD40LG_a5b1 complex	simple:P29965	complex:a5b1 complex	CD40LG		True	False	False	curated	True	0.004																																																																																																																																																																																																																																																																																																																																																																																																	0.479									0.36																																																																																										
CPI-SS09C4988F8	PROS1_TYRO3	simple:P07225	simple:Q06418	PROS1	TYRO3	True	False	True	guidetopharmacology.org	False	0.004																																																																								0.236																																																																																																																																																										0.082																																																																																																																																																																																																																																																																		
CPI-SS0B01CF3AB	CSF1R_CSF1	simple:P07333	simple:P09603	CSF1R	CSF1	True	True	False	curated	False	0.004																																																																																																																																																																																																																																																																																																																																																																																																																																					0.28															0.327																																																
CPI-SS08376F0E6	CSF3_CSF3R	simple:P09919	simple:Q99062	CSF3	CSF3R	True	False	True	curated	False	0.004																																																																																																																												1.477																																																																																																																																																																																																						1.488																																																																																																																																																																		
CPI-SS05BE83BC6	CSF1R_CSF3	simple:P07333	simple:P09919	CSF1R	CSF3	True	True	False	guidetopharmacology.org	False	0.004																																																																																																																																																																																																																																																																																																																																																																																																																																								0.177									0.187																																																			
CPI-SC01AB9BED7	SPP1_a9b1 complex	simple:P10451	complex:a9b1 complex	SPP1		True	False	False	curated	True	0.006																																																																																																																																																																																																																																																																																																																																																																																																																																						0.287				0.286	0.364																																																									
CPI-SC08E97F7CA	VCAM1_a4b7 complex	simple:P19320	complex:a4b7 complex	VCAM1		False	False	False	curated	True	0.006																																													0.29		0.329															0.274																																																																																																																																																																																																																																																																																																																																																																																																																																						
CPI-SS0DA366C78	EPHB2_EFNB3	simple:P29323	simple:Q15768	EPHB2	EFNB3	False	True	True	curated	False	0.006																																																																																																																		0.072																																												0.088																																																																																																																																																										0.1																																																																																																																																																																												
CPI-SS0470AF83E	EPHB1_EFNB1	simple:P54762	simple:P98172	EPHB1	EFNB1	False	True	False	curated	False	0.006																																																																																																																																																																																																																																																																																																																																																																																																																																																														0.165		0.226							0.17																													
CPI-SS077D7365D	CD28_CD86	simple:P10747	simple:P42081	CD28	CD86	False	False	True	curated	False	0.006																																																																																																																																																																																																																																																																																																																																																																																							0.428																			0.391		0.261																																																																																								
CPI-CS0AB19226A	PlexinA4_complex1_SEMA3A	complex:PlexinA4_complex1	simple:Q14563		SEMA3A	True	True	False	curated	False	0.006																																																																																																																																																																																																																																																																																																																																																																																																																																																												0.218		0.133									0.203																													
CPI-SS0B0E09B1C	CTLA4_CD86	simple:P16410	simple:P42081	CTLA4	CD86	False	False	True	curated	False	0.006																																																																																																																																																																																																																																																																																																																																																																																							0.398																			0.361		0.231																																																																																								
CPI-SS0BE8BE8E9	ACKR2_CCL8	simple:O00590	simple:P80075	ACKR2	CCL8	True	True	False	curated	False	0.006																																																																												2.096																																												2.099																																																																																																																																																																																																						2.1																																																																																																																																																																						
CPI-SS0F3A089DE	SEMA3E_PLXND1	simple:O15041	simple:Q9Y4D7	SEMA3E	PLXND1	True	False	True	curated	False	0.006																																																																																						0.136																																												0.103																																																																																																																																																																																																						0.123																																																																																																																																																												
CPI-SS0273C9AED	KDR_VEGFC	simple:P35968	simple:P49767	KDR	VEGFC	True	True	False	curated	False	0.006																																																																																																																																																																																																																																		0.274					0.614				0.295																																																																																																																																																																																																																																																									
