"int_pair","typeA","typeB","clustA","clustB","value"
"ADIPOQ & CD200R1","L","R","B_cell","Macro",0.215
"ADIPOQ & CD200R1","L","R","B_cell","T_cell",0.248
"ADIPOQ & CD200R1","L","R","NK","Macro",0.241
"ADIPOQ & CD200R1","L","R","NK","T_cell",0.274
"ADIPOQ & CD200R1","L","R","T_cell","Macro",0.218
"ADIPOQ & CD200R1","L","R","T_cell","T_cell",0.251
"ADIPOQ & CLEC2D","L","R","B_cell","B_cell",0.698
"ADIPOQ & CLEC2D","L","R","B_cell","T_cell",0.836
"ADIPOQ & CLEC2D","L","R","CAF","T_cell",0.747
"ADIPOQ & CLEC2D","L","R","Endo","B_cell",0.641
"ADIPOQ & CLEC2D","L","R","Endo","T_cell",0.779
"ADIPOQ & CLEC2D","L","R","Macro","B_cell",0.629
"ADIPOQ & CLEC2D","L","R","Macro","T_cell",0.766
"ADIPOQ & CLEC2D","L","R","malignant_cell","B_cell",0.606
"ADIPOQ & CLEC2D","L","R","malignant_cell","T_cell",0.743
"ADIPOQ & CLEC2D","L","R","NK","B_cell",0.724
"ADIPOQ & CLEC2D","L","R","NK","T_cell",0.861
"ADIPOQ & CLEC2D","L","R","T_cell","B_cell",0.701
"ADIPOQ & CLEC2D","L","R","T_cell","T_cell",0.839
"ADIPOQ & CNR2","L","R","B_cell","B_cell",0.485
"ADIPOQ & CNR2","L","R","CAF","B_cell",0.397
"ADIPOQ & CNR2","L","R","Endo","B_cell",0.428
"ADIPOQ & CNR2","L","R","Macro","B_cell",0.415
"ADIPOQ & CNR2","L","R","malignant_cell","B_cell",0.392
"ADIPOQ & CNR2","L","R","NK","B_cell",0.511
"ADIPOQ & CNR2","L","R","T_cell","B_cell",0.488
"ALOX5 & ALOX5AP","L","R","B_cell","B_cell",0.749
"ALOX5 & ALOX5AP","L","R","B_cell","Macro",0.949
"ALOX5 & ALOX5AP","L","R","B_cell","NK",1.064
"ALOX5 & ALOX5AP","L","R","B_cell","T_cell",0.777
"ALOX5 & ALOX5AP","L","R","Endo","B_cell",0.467
"ALOX5 & ALOX5AP","L","R","Endo","Macro",0.667
"ALOX5 & ALOX5AP","L","R","Endo","NK",0.783
"ALOX5 & ALOX5AP","L","R","Endo","T_cell",0.496
"ALOX5 & ALOX5AP","L","R","Macro","B_cell",0.918
"ALOX5 & ALOX5AP","L","R","Macro","Macro",1.118
"ALOX5 & ALOX5AP","L","R","Macro","NK",1.234
"ALOX5 & ALOX5AP","L","R","Macro","T_cell",0.947
"ANGPT1 & TEK","L","R","CAF","Endo",0.497
"ANGPT2 & TEK","L","R","B_cell","Endo",0.577
"ANGPT2 & TEK","L","R","CAF","Endo",0.548
"ANGPT2 & TEK","L","R","Endo","Endo",0.736
"ANGPT2 & TEK","L","R","Macro","Endo",0.51
"ANGPT2 & TEK","L","R","malignant_cell","Endo",0.473
"ANGPT2 & TEK","L","R","NK","Endo",0.615
"ANGPT2 & TEK","L","R","T_cell","Endo",0.561
"ANXA1 & FPR1","L","R","CAF","Macro",1.181
"ANXA1 & FPR1","L","R","Endo","Macro",0.846
"ANXA1 & FPR1","L","R","Macro","Macro",1.263
"ANXA1 & FPR1","L","R","malignant_cell","Macro",1.091
"ANXA1 & FPR1","L","R","NK","Macro",1.004
"ANXA1 & FPR1","L","R","T_cell","Macro",0.833
"ANXA1 & FPR2","L","R","CAF","Macro",0.917
"ANXA1 & FPR2","L","R","Endo","Macro",0.582
"ANXA1 & FPR2","L","R","Macro","Macro",0.999
"ANXA1 & FPR2","L","R","malignant_cell","Macro",0.827
"ANXA1 & FPR2","L","R","NK","Macro",0.74
"ANXA1 & FPR2","L","R","T_cell","Macro",0.569
"ANXA1 & FPR3","L","R","CAF","Macro",1.116
"ANXA1 & FPR3","L","R","Endo","Macro",0.78
"ANXA1 & FPR3","L","R","Macro","Macro",1.197
"ANXA1 & FPR3","L","R","malignant_cell","Macro",1.025
"ANXA1 & FPR3","L","R","NK","Macro",0.938
"ANXA1 & FPR3","L","R","T_cell","Macro",0.767
"APP & CD74","L","R","B_cell","B_cell",1.377
"APP & CD74","L","R","CAF","B_cell",1.831
"APP & CD74","L","R","Endo","B_cell",2.151
"APP & CD74","L","R","Macro","B_cell",1.558
"APP & CD74","L","R","malignant_cell","B_cell",1.59
"APP & CD74","L","R","Endo","CAF",1.273
"APP & CD74","L","R","CAF","Endo",1.46
"APP & CD74","L","R","Endo","Endo",1.78
"APP & CD74","L","R","Macro","Endo",1.187
"APP & CD74","L","R","malignant_cell","Endo",1.219
"APP & CD74","L","R","B_cell","Macro",1.3
"APP & CD74","L","R","CAF","Macro",1.754
"APP & CD74","L","R","Endo","Macro",2.073
"APP & CD74","L","R","Macro","Macro",1.481
"APP & CD74","L","R","malignant_cell","Macro",1.513
"APP & CD74","L","R","Endo","malignant_cell",1.13
"APP & CD74","L","R","CAF","NK",1.354
"APP & CD74","L","R","Endo","NK",1.674
"APP & CD74","L","R","Macro","NK",1.081
"APP & CD74","L","R","malignant_cell","NK",1.113
"APP & CD74","L","R","B_cell","T_cell",1.022
"APP & CD74","L","R","CAF","T_cell",1.476
"APP & CD74","L","R","Endo","T_cell",1.796
"APP & CD74","L","R","Macro","T_cell",1.203
"APP & CD74","L","R","malignant_cell","T_cell",1.235
"APP & FPR2","L","R","B_cell","Macro",0.335
"APP & FPR2","L","R","CAF","Macro",0.79
"APP & FPR2","L","R","Endo","Macro",1.109
"APP & FPR2","L","R","Macro","Macro",0.516
"APP & FPR2","L","R","malignant_cell","Macro",0.549
"AREG & EGFR","L","R","B_cell","CAF",0.377
"AREG & EGFR","L","R","Macro","CAF",0.477
"AREG & EGFR","L","R","NK","CAF",0.594
"AREG & EGFR","L","R","T_cell","CAF",0.366
"AREG & ICAM1","L","R","Macro","B_cell",0.385
"AREG & ICAM1","L","R","NK","B_cell",0.501
"AREG & ICAM1","L","R","Macro","CAF",0.476
"AREG & ICAM1","L","R","NK","CAF",0.592
"AREG & ICAM1","L","R","Macro","Endo",0.49
"AREG & ICAM1","L","R","NK","Endo",0.606
"AREG & ICAM1","L","R","B_cell","Macro",0.689
"AREG & ICAM1","L","R","Macro","Macro",0.789
"AREG & ICAM1","L","R","NK","Macro",0.906
"AREG & ICAM1","L","R","T_cell","Macro",0.678
"AREG & ICAM1","L","R","B_cell","malignant_cell",0.542
"AREG & ICAM1","L","R","Macro","malignant_cell",0.643
"AREG & ICAM1","L","R","NK","malignant_cell",0.759
"AREG & ICAM1","L","R","T_cell","malignant_cell",0.531
"AREG & ICAM1","L","R","Macro","NK",0.441
"AREG & ICAM1","L","R","NK","NK",0.558
"AREG & ICAM1","L","R","NK","T_cell",0.486
"AXL & IL15RA","R","R","B_cell","CAF",0.566
"AXL & IL15RA","R","R","B_cell","Endo",0.608
"AXL & IL15RA","R","R","B_cell","Macro",0.528
"AXL & IL15RA","R","R","CAF","CAF",0.869
"AXL & IL15RA","R","R","CAF","Endo",0.91
"AXL & IL15RA","R","R","CAF","Macro",0.83
"AXL & IL15RA","R","R","Endo","CAF",0.441
"AXL & IL15RA","R","R","Endo","Endo",0.483
"AXL & IL15RA","R","R","Macro","CAF",0.764
"AXL & IL15RA","R","R","Macro","Endo",0.805
"AXL & IL15RA","R","R","Macro","Macro",0.726
"AXL & IL15RA","R","R","malignant_cell","CAF",0.42
"AXL & IL15RA","R","R","malignant_cell","Endo",0.461
"AXL & IL15RA","R","R","NK","CAF",0.555
"AXL & IL15RA","R","R","NK","Endo",0.596
"AXL & IL15RA","R","R","NK","Macro",0.517
"AXL & IL15RA","R","R","T_cell","CAF",0.596
"AXL & IL15RA","R","R","T_cell","Endo",0.637
"AXL & IL15RA","R","R","T_cell","Macro",0.558
"BAG6 & NCR3","L","R","B_cell","B_cell",0.238
"BAG6 & NCR3","L","R","CAF","B_cell",0.287
"BAG6 & NCR3","L","R","Endo","B_cell",0.315
"BAG6 & NCR3","L","R","Macro","B_cell",0.286
"BAG6 & NCR3","L","R","malignant_cell","B_cell",0.358
"BAG6 & NCR3","L","R","T_cell","B_cell",0.222
"BAG6 & NCR3","L","R","B_cell","NK",0.458
"BAG6 & NCR3","L","R","CAF","NK",0.508
"BAG6 & NCR3","L","R","Endo","NK",0.535
"BAG6 & NCR3","L","R","Macro","NK",0.507
"BAG6 & NCR3","L","R","malignant_cell","NK",0.578
"BAG6 & NCR3","L","R","NK","NK",0.408
"BAG6 & NCR3","L","R","T_cell","NK",0.443
"BDNF & F11R","L","R","CAF","B_cell",0.334
"BDNF & F11R","L","R","CAF","Endo",0.491
"BDNF & F11R","L","R","CAF","Macro",0.315
"BDNF & F11R","L","R","CAF","NK",0.357
"BDNF & F11R","L","R","CAF","T_cell",0.332
"BDNF & NCAM1","L","R","CAF","Endo",0.155
"BDNF & NCAM1","L","R","CAF","malignant_cell",0.109
"BDNF & NCAM1","L","R","CAF","NK",0.526
"BDNF & NGFR","L","R","CAF","CAF",0.196
"BDNF & NTRK2","L","R","CAF","CAF",0.241
"BDNF & SORT1","L","R","CAF","Macro",0.207
"BDNF & SORT1","L","R","CAF","malignant_cell",0.485
"BMP2 & BMPR1A_BMPR2","L","R","Endo","CAF",0.259
"BMP2 & BMPR1A_BMPR2","L","R","Endo","malignant_cell",0.22
"BMP2 & BMPR1B_BMPR2","L","R","Endo","CAF",0.182
"BMP2 & BMPR1B_BMPR2","L","R","Endo","malignant_cell",0.297
"BMP2 & BMR1A_ACR2A","L","R","Endo","CAF",0.259
"BMP2 & BMR1A_ACR2A","L","R","Endo","malignant_cell",0.22
"BMP2 & BMR1A_AVR2B","L","R","Endo","Endo",0.154
"BMP2 & BMR1A_AVR2B","L","R","Endo","malignant_cell",0.202
"BMP2 & BMR1B_AVR2A","L","R","Endo","CAF",0.3
"BMP2 & BMR1B_AVR2A","L","R","Endo","Endo",0.24
