gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B cell	Basal	CTL	Ciliated	Ciliated-diff	FOXN4	IRC	Ionocyte	MC	MoMa	NK	NKT	NKT-p	Neu	Secretory	Secretory-diff	Squamous	Treg	moDC	nrMa	pDC	rMa
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	3.165	0.463	0.952	0.934	0.698	0.418	0.829	0.264	0.182	1.405	0.487	0.672	1.739	0.13	0.656	0.477	0.032	0.531	3.018	1.386	1.995	3.048
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0	0.007	0.001	0.015	0.007	0.065	0.04	0.015	0.0	0.0	0.24	0.0	0.001	0.0	0.03	0.014	0.017	0.0	0.002	0.015	0.0	0.011
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	3.165	0.463	0.952	0.934	0.698	0.418	0.829	0.264	0.182	1.405	0.487	0.672	1.739	0.13	0.656	0.477	0.032	0.531	3.018	1.386	1.995	3.048
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.003	0.0	0.0	0.003	0.009	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.002	0.011	0.0	0.0	0.003	0.0	0.007
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0	0.002	0.0	0.002	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.003	0.0	0.0	0.006	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0	0.007	0.001	0.015	0.007	0.065	0.04	0.015	0.0	0.0	0.24	0.0	0.001	0.0	0.03	0.014	0.017	0.0	0.002	0.015	0.0	0.011
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0	0.007	0.001	0.015	0.007	0.065	0.04	0.015	0.0	0.0	0.24	0.0	0.001	0.0	0.03	0.014	0.017	0.0	0.002	0.015	0.0	0.011
