gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B cell	Basal	CTL	Ciliated	Ciliated-diff	IRC	Ionocyte	MC	MoMa	NKT	NKT-p	Secretory	Secretory-diff	Squamous	Treg	moDC	nrMa	pDC	rMa
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	2.926	0.043	0.541	0.909	0.268	0.19	0.128	0.257	3.889	1.107	0.017	0.41	0.116	0.009	0.324	4.044	2.485	1.269	3.524
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0	0.0	0.0	0.02	0.008	0.0	0.02	0.0	0.0	0.0	0.017	0.026	0.0	0.027	0.0	0.0	0.016	0.0	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	2.926	0.043	0.541	0.909	0.268	0.19	0.128	0.257	3.889	1.107	0.017	0.41	0.116	0.009	0.324	4.044	2.485	1.269	3.524
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0	0.0	0.007	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.016	0.066	0.0	0.0	0.361	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0	0.0	0.0	0.02	0.008	0.0	0.02	0.0	0.0	0.0	0.017	0.026	0.0	0.027	0.0	0.0	0.016	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0	0.0	0.0	0.02	0.008	0.0	0.02	0.0	0.0	0.0	0.017	0.026	0.0	0.027	0.0	0.0	0.016	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0	0.0	0.0	0.02	0.008	0.0	0.02	0.0	0.0	0.0	0.017	0.026	0.0	0.027	0.0	0.0	0.016	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.0	0.008	0.0	0.022	0.0	0.0	0.0	0.405	0.0	0.0	0.0	0.062	0.014	0.027	0.0	0.0	0.0	0.0	0.0
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.046	0.0	0.326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.009	0.223	0.0	0.018	0.0	0.067
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.0	0.203	0.045	1.161	0.424	0.259	0.748	0.0	0.0	0.0	0.279	0.898	0.4	0.388	0.0	0.0	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.091	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.3	0.067	0.134	0.147	0.058	0.259	0.03	0.15	0.725	0.0	0.348	0.322	0.171	0.187	0.039	0.0	0.727	1.028	0.446
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS044CF7EAE	0.088	0.0	0.2	0.026	0.0	0.0	0.055	0.0	0.0	0.0	0.0	0.144	0.053	0.03	0.027	0.0	0.068	0.0	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.001	0.0	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.002	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.0	0.0	0.0	0.009	0.0	0.0	0.256	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.001	0.0	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.002	0.0	0.0	0.0	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	1.51	0.436	0.654	0.019	0.047	0.447	0.212	2.313	1.412	0.0	0.555	0.827	0.205	0.102	0.908	0.0	2.006	0.0	0.244
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.001	0.0	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.002	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.0	0.0	0.0	0.009	0.0	0.0	0.256	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.0	0.0	0.0
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.264	0.256	0.164	0.387	0.114	0.399	0.221	2.434	3.495	0.0	0.207	0.642	0.335	0.121	0.636	0.0	2.704	0.0	0.894
TFF1	P04155	False	TFF1_HUMAN		CPI-SS04640F9C3	0.0	0.0	0.037	0.019	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.108	0.084	0.021	0.0	0.0	0.0	0.0	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.0	0.026	0.0	0.011	0.0	0.024	0.0	0.0	0.0	0.0	0.039	0.134	0.01	0.001	0.0	0.0	0.029	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.001	0.0	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.002	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.0	0.0	0.0	0.009	0.0	0.0	0.256	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.0	0.0	0.0
