gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B cell	Basal	CTL	Ciliated	Ciliated-diff	FOXN4	IRC	Ionocyte	MC	MoMa	NK	NKT	NKT-p	Neu	Secretory	Secretory-diff	Squamous	Treg	moDC	nrMa	pDC	rMa
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	2.782	0.273	0.676	1.107	0.542	0.497	0.736	0.252	0.535	1.08	0.671	0.286	1.012	0.039	0.57	0.486	0.011	0.242	2.87	1.14	0.541	1.903
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0	0.0	0.0	0.014	0.004	0.03	0.028	0.06	0.0	0.0	0.0	0.0	0.002	0.002	0.03	0.015	0.018	0.002	0.0	0.037	0.0	0.033
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	2.782	0.273	0.676	1.107	0.542	0.497	0.736	0.252	0.535	1.08	0.671	0.286	1.012	0.039	0.57	0.486	0.011	0.242	2.87	1.14	0.541	1.903
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0	0.0	0.006	0.004	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.002	0.005	0.006	0.0	0.0	0.0	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0	0.0	0.0	0.014	0.004	0.03	0.028	0.06	0.0	0.0	0.0	0.0	0.002	0.002	0.03	0.015	0.018	0.002	0.0	0.037	0.0	0.033
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0	0.0	0.0	0.014	0.004	0.03	0.028	0.06	0.0	0.0	0.0	0.0	0.002	0.002	0.03	0.015	0.018	0.002	0.0	0.037	0.0	0.033
